file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,89d665d1,KaiiB,2025-04-05,03:40:03,-07:00,2025-04-05T03:40:03-07:00,0,5
style.css,2,css,89d665d1,KaiiB,2025-04-05,03:40:03,-07:00,2025-04-05T03:40:03-07:00,0,44
style.css,3,css,89d665d1,KaiiB,2025-04-05,03:40:03,-07:00,2025-04-05T03:40:03-07:00,0,43
style.css,4,css,89d665d1,KaiiB,2025-04-05,03:40:03,-07:00,2025-04-05T03:40:03-07:00,0,1
style.css,5,css,89d665d1,KaiiB,2025-04-05,03:40:03,-07:00,2025-04-05T03:40:03-07:00,0,24
style.css,6,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,16
style.css,7,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,19
style.css,8,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,13
style.css,9,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,0
style.css,10,css,89d665d1,KaiiB,2025-04-05,03:40:03,-07:00,2025-04-05T03:40:03-07:00,0,0
style.css,11,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,0
style.css,12,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,30
style.css,13,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,6
style.css,14,css,ffbdefdf,KaiiB,2025-04-11,23:03:44,-07:00,2025-04-11T23:03:44-07:00,0,29
style.css,15,css,ffbdefdf,KaiiB,2025-04-11,23:03:44,-07:00,2025-04-11T23:03:44-07:00,0,26
style.css,16,css,281459a6,KaiiB,2025-04-19,20:44:08,-07:00,2025-04-19T20:44:08-07:00,0,24
style.css,17,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,0
style.css,18,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,0
style.css,19,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,5
style.css,20,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,22
style.css,21,css,ffbdefdf,KaiiB,2025-04-11,23:03:44,-07:00,2025-04-11T23:03:44-07:00,0,27
style.css,22,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,0
style.css,23,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,0
style.css,24,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,22
style.css,25,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,4
style.css,26,css,281459a6,KaiiB,2025-04-19,20:44:08,-07:00,2025-04-19T20:44:08-07:00,0,40
style.css,27,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,13
style.css,28,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,18
style.css,29,css,281459a6,KaiiB,2025-04-19,20:44:08,-07:00,2025-04-19T20:44:08-07:00,0,44
style.css,30,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,0
style.css,31,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,0
style.css,32,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,6
style.css,33,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,7
style.css,34,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,21
style.css,35,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,14
style.css,36,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,18
style.css,37,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,14
style.css,38,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,0
style.css,39,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,0
style.css,40,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,14
style.css,41,css,281459a6,KaiiB,2025-04-19,20:44:08,-07:00,2025-04-19T20:44:08-07:00,0,46
style.css,42,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,21
style.css,43,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,0
style.css,44,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,0
style.css,45,css,8f7d9db3,KaiiB,2025-04-11,22:57:13,-07:00,2025-04-11T22:57:13-07:00,0,12
